Expected Tenure 1,Expected Tenure 2,,,,,
3,3,,,,,
4,4,,,,,
2.152083091,2.046689403,,,,,
8,10,,,,,
2,2,,,,,
9.375,9.375,,,,,
4,4,,,,,
2,1.167773529,,,,,
7,0.377869134,,,,,
7,7,,,,,
7,69.42750083,,,,,
7,0.42030845,,,,,
3.142426759,3.404766035,,,,,
7,7,,,,,
11.75,13,,,,,
3.15,3.069888468,,,,,
14,39.33443724,,,,,
7,7,,,,,
7.097383212,8,,,,,
4,2.376150865,,,,,
4.013126127,55.59427401,,,,,
8,7.116164552,,,,,
7,7,,,,,
4,3,,,,,
2,15,,,,,
8.404272712,85.19989547,,,,,
7,7,,,,,
9,18.82986537,,,,,
4,4,,,,,
4,10,,,,,
2.085832965,2.085832965,,,,,
4,4,,,,,
0.07,0.009803689,,,,,
7,82.3654984,,,,,
13,18.41034238,,,,,
3,2,,,,,
2.04,100.0835714,,,,,
4,3.038970218,,,,,
16.125,85.96900086,,,,,
8,10,,,,,
7,7,,,,,
